phoneNumber,ownerEmail,phone_type,share_phone
1000000001,user1@gmail.com,home,0
1000000002,user2@gmail.com,home,1
1000000003,user3@gmail.com,work,1
1000000004,user4@gmail.com,mobile,0
1000000005,user5@gmail.com,work,1
1000000006,user6@gmail.com,mobile,0
1000000008,user8@gmail.com,home,1
1000000010,user10@gmail.com,mobile,1
1000000013,user13@gmail.com,home,1
1000000014,user14@gmail.com,work,1
1000000016,user16@gmail.com,mobile,0
1000000019,user19@gmail.com,work,1
1000000022,user22@gmail.com,home,1
1000000024,user24@gmail.com,work,1
1000000026,user26@gmail.com,work,1
1000000027,user27@gmail.com,mobile,0
1000000029,user29@gmail.com,mobile,1
1000000030,user30@gmail.com,mobile,1
1000000031,user31@gmail.com,work,1
1000000033,user33@gmail.com,home,0
1000000034,user34@gmail.com,home,0
1000000036,user36@gmail.com,work,1
1000000039,user39@gmail.com,work,1
1000000040,user40@gmail.com,mobile,1
1000000041,user41@gmail.com,mobile,0
1000000044,user44@gmail.com,work,0
1000000045,user45@gmail.com,home,0
1000000046,user46@gmail.com,mobile,1
1000000048,user48@gmail.com,work,1
1000000049,user49@gmail.com,mobile,1
1000000050,user50@gmail.com,home,0
